#File	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Flower_S8_R1_001.fastq.gz	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Flower_S8_R2_001.fastq.gz
#Total	102129820
#Matched	70665292	69.19163%
#Name	Reads	ReadsPct
10792	6915	0.00677%
2650	6907	0.00676%
475	6905	0.00676%
1639	6896	0.00675%
1253	6882	0.00674%
7702	6869	0.00673%
49071	6781	0.00664%
12151	6769	0.00663%
1073	6734	0.00659%
12731	6734	0.00659%
53965	6706	0.00657%
90597	6683	0.00654%
7114	6676	0.00654%
278	6665	0.00653%
10902	6603	0.00647%
2529	6568	0.00643%
8037	6487	0.00635%
22683	6447	0.00631%
67412	6446	0.00631%
10423	6432	0.00630%
79824	6420	0.00629%
21669	6418	0.00628%
18332	6397	0.00626%
8091	6362	0.00623%
165773	6335	0.00620%
10079	6331	0.00620%
7374	6327	0.00620%
6099	6297	0.00617%
6507	6283	0.00615%
38580	6253	0.00612%
92428	6241	0.00611%
21419	6240	0.00611%
2468	6216	0.00609%
36410	6177	0.00605%
8375	6138	0.00601%
548	6137	0.00601%
23436	6130	0.00600%
8787	6033	0.00591%
73220	5969	0.00584%
22314	5959	0.00583%
7670	5938	0.00581%
1564	5926	0.00580%
27355	5921	0.00580%
56432	5889	0.00577%
13926	5884	0.00576%
9502	5817	0.00570%
78067	5762	0.00564%
5578	5735	0.00562%
383	5696	0.00558%
11881	5693	0.00557%
1590	5687	0.00557%
101451	5657	0.00554%
40024	5653	0.00554%
190753	5606	0.00549%
1239	5576	0.00546%
16932	5534	0.00542%
7723	5519	0.00540%
3000	5511	0.00540%
59235	5502	0.00539%
34881	5485	0.00537%
28804	5476	0.00536%
1613	5451	0.00534%
57000	5438	0.00532%
51017	5425	0.00531%
46189	5345	0.00523%
15214	5315	0.00520%
48851	5277	0.00517%
25116	5274	0.00516%
1320	5272	0.00516%
5318	5253	0.00514%
4296	5216	0.00511%
16657	5208	0.00510%
17444	5180	0.00507%
20816	5150	0.00504%
7003	5123	0.00502%
7844	5106	0.00500%
4276	5101	0.00499%
189601	5090	0.00498%
13093	5086	0.00498%
84446	5052	0.00495%
32429	5051	0.00495%
28120	5013	0.00491%
1810	4988	0.00488%
19869	4973	0.00487%
904	4937	0.00483%
89710	4931	0.00483%
14387	4897	0.00479%
12	4883	0.00478%
42488	4860	0.00476%
68701	4754	0.00465%
23247	4749	0.00465%
12462	4745	0.00465%
66244	4721	0.00462%
2828	4714	0.00462%
22152	4679	0.00458%
20739	4666	0.00457%
19073	4651	0.00455%
112670	4642	0.00455%
920	4628	0.00453%
577	4606	0.00451%
85132	4554	0.00446%
7231	4535	0.00444%
8464	4501	0.00441%
1015	4412	0.00432%
27635	4405	0.00431%
34806	4403	0.00431%
14537	4388	0.00430%
49817	4386	0.00429%
2311	4367	0.00428%
36489	4365	0.00427%
166049	4356	0.00427%
10976	4348	0.00426%
13770	4348	0.00426%
114	4343	0.00425%
3474	4314	0.00422%
4077	4303	0.00421%
5210	4297	0.00421%
5378	4275	0.00419%
1345	4270	0.00418%
6891	4249	0.00416%
29602	4235	0.00415%
11069	4209	0.00412%
75215	4194	0.00411%
18091	4190	0.00410%
29431	4187	0.00410%
16305	4140	0.00405%
13772	4120	0.00403%
4590	4113	0.00403%
1148	4106	0.00402%
39320	4100	0.00401%
9044	4079	0.00399%
6795	4026	0.00394%
1486	3998	0.00391%
15809	3997	0.00391%
49822	3962	0.00388%
8548	3913	0.00383%
6961	3893	0.00381%
890	3863	0.00378%
47441	3844	0.00376%
14891	3818	0.00374%
1865	3810	0.00373%
62994	3769	0.00369%
26319	3764	0.00369%
36985	3730	0.00365%
55821	3716	0.00364%
41351	3715	0.00364%
26094	3683	0.00361%
16565	3614	0.00354%
270807	3595	0.00352%
5567	3592	0.00352%
72135	3571	0.00350%
956	3497	0.00342%
14743	3487	0.00341%
30867	3468	0.00340%
54885	3462	0.00339%
4134	3457	0.00338%
9	3433	0.00336%
21059	3410	0.00334%
62494	3404	0.00333%
100702	3397	0.00333%
9701	3394	0.00332%
42930	3385	0.00331%
3875	3379	0.00331%
16114	3369	0.00330%
2173	3364	0.00329%
32630	3349	0.00328%
126532	3347	0.00328%
5369	3344	0.00327%
23826	3323	0.00325%
12309	3314	0.00324%
519	3311	0.00324%
196	3309	0.00324%
15898	3290	0.00322%
43966	3265	0.00320%
42636	3229	0.00316%
27603	3228	0.00316%
118287	3222	0.00315%
22852	3215	0.00315%
17796	3212	0.00315%
13231	3190	0.00312%
933	3188	0.00312%
21806	3186	0.00312%
3586	3184	0.00312%
4573	3161	0.00310%
2728	3160	0.00309%
17833	3156	0.00309%
34390	3141	0.00308%
8493	3134	0.00307%
18368	3128	0.00306%
7131	3125	0.00306%
1018	3085	0.00302%
24471	3084	0.00302%
71654	3079	0.00301%
53013	3075	0.00301%
31825	3045	0.00298%
2060	3030	0.00297%
14104	3025	0.00296%
3492	3014	0.00295%
61009	3011	0.00295%
103630	3008	0.00295%
17381	3006	0.00294%
14390	3000	0.00294%
2228	2984	0.00292%
843	2979	0.00292%
51738	2963	0.00290%
2671	2959	0.00290%
9203	2954	0.00289%
18653	2944	0.00288%
138485	2930	0.00287%
12022	2920	0.00286%
107361	2902	0.00284%
39702	2899	0.00284%
1559	2896	0.00284%
36477	2867	0.00281%
1194	2841	0.00278%
12291	2840	0.00278%
7898	2839	0.00278%
