#File	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Leaf_S2_R1_001.fastq.gz	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Leaf_S2_R2_001.fastq.gz
#Total	98405454
#Matched	30241328	30.73135%
#Name	Reads	ReadsPct
54163	5475	0.00556%
12840	5392	0.00548%
5687	5387	0.00547%
35050	5267	0.00535%
177923	5246	0.00533%
78651	5187	0.00527%
3578	5167	0.00525%
22152	5164	0.00525%
4727	5136	0.00522%
1057	5027	0.00511%
4766	4998	0.00508%
12425	4965	0.00505%
5318	4944	0.00502%
38418	4888	0.00497%
51187	4881	0.00496%
69409	4822	0.00490%
1447	4731	0.00481%
7114	4695	0.00477%
71882	4675	0.00475%
771	4657	0.00473%
7976	4619	0.00469%
12731	4613	0.00469%
3743	4567	0.00464%
1253	4564	0.00464%
55615	4561	0.00463%
12462	4530	0.00460%
92813	4493	0.00457%
13912	4427	0.00450%
4526	4413	0.00448%
39167	4403	0.00447%
1541	4396	0.00447%
20636	4364	0.00443%
4786	4361	0.00443%
29431	4341	0.00441%
13689	4330	0.00440%
21814	4312	0.00438%
8787	4308	0.00438%
75215	4266	0.00434%
274	4264	0.00433%
1618	4261	0.00433%
71874	4242	0.00431%
133	4239	0.00431%
1564	4217	0.00429%
37	4213	0.00428%
17585	4207	0.00428%
66139	4207	0.00428%
114872	4197	0.00427%
217	4194	0.00426%
5670	4188	0.00426%
72135	4186	0.00425%
85167	4175	0.00424%
2521	4172	0.00424%
19361	4160	0.00423%
17003	4147	0.00421%
13093	4117	0.00418%
10166	4091	0.00416%
1179	4082	0.00415%
23530	4063	0.00413%
970	4060	0.00413%
16330	4051	0.00412%
33757	4045	0.00411%
858	4021	0.00409%
76420	4019	0.00408%
12494	3989	0.00405%
56947	3974	0.00404%
47562	3967	0.00403%
12039	3960	0.00402%
637	3959	0.00402%
56849	3948	0.00401%
21669	3920	0.00398%
9502	3894	0.00396%
10792	3886	0.00395%
14330	3884	0.00395%
8005	3882	0.00394%
21150	3868	0.00393%
740	3853	0.00392%
190753	3851	0.00391%
7702	3849	0.00391%
17468	3791	0.00385%
36410	3756	0.00382%
2650	3750	0.00381%
11539	3721	0.00378%
42961	3706	0.00377%
4226	3705	0.00377%
6002	3698	0.00376%
79283	3685	0.00374%
99674	3675	0.00373%
2529	3667	0.00373%
5725	3658	0.00372%
2067	3651	0.00371%
49071	3649	0.00371%
92428	3618	0.00368%
7332	3598	0.00366%
1320	3595	0.00365%
6099	3595	0.00365%
1073	3589	0.00365%
2818	3560	0.00362%
24107	3556	0.00361%
1990	3528	0.00359%
50851	3504	0.00356%
23436	3491	0.00355%
8091	3473	0.00353%
190625	3467	0.00352%
11186	3430	0.00349%
759	3428	0.00348%
22391	3419	0.00347%
32460	3379	0.00343%
60957	3379	0.00343%
20120	3372	0.00343%
12	3368	0.00342%
548	3363	0.00342%
30104	3352	0.00341%
2468	3322	0.00338%
11043	3303	0.00336%
23823	3301	0.00335%
18332	3286	0.00334%
7275	3268	0.00332%
389	3256	0.00331%
48851	3241	0.00329%
1364	3235	0.00329%
1486	3202	0.00325%
16456	3198	0.00325%
7596	3165	0.00322%
8261	3139	0.00319%
25116	3126	0.00318%
6507	3117	0.00317%
52652	3112	0.00316%
44872	3056	0.00311%
1628	3023	0.00307%
5052	3002	0.00305%
90597	3001	0.00305%
165773	2988	0.00304%
84446	2966	0.00301%
14088	2954	0.00300%
48568	2948	0.00300%
20739	2925	0.00297%
577	2923	0.00297%
2455	2918	0.00297%
3427	2908	0.00296%
46189	2903	0.00295%
1345	2876	0.00292%
7499	2871	0.00292%
4447	2847	0.00289%
8375	2847	0.00289%
