#File	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Seed_S6_R1_001.fastq.gz	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Seed_S6_R2_001.fastq.gz
#Total	102487828
#Matched	8597903	8.38919%
#Name	Reads	ReadsPct
5087	1233	0.00120%
5318	1227	0.00120%
6507	1224	0.00119%
2520	1223	0.00119%
9455	1221	0.00119%
6	1200	0.00117%
100702	1196	0.00117%
636	1194	0.00117%
4867	1193	0.00116%
8683	1184	0.00116%
402	1181	0.00115%
11834	1179	0.00115%
13841	1169	0.00114%
99674	1169	0.00114%
1443	1168	0.00114%
5117	1167	0.00114%
5406	1164	0.00114%
62954	1163	0.00113%
10181	1156	0.00113%
50556	1150	0.00112%
13912	1143	0.00112%
114872	1136	0.00111%
13339	1133	0.00111%
30038	1133	0.00111%
8133	1131	0.00110%
2642	1128	0.00110%
80909	1117	0.00109%
29518	1110	0.00108%
76420	1106	0.00108%
9359	1096	0.00107%
1666	1095	0.00107%
41504	1093	0.00107%
14446	1092	0.00107%
54118	1090	0.00106%
55081	1090	0.00106%
17003	1086	0.00106%
1073	1080	0.00105%
16456	1078	0.00105%
61812	1078	0.00105%
12731	1058	0.00103%
2450	1053	0.00103%
71874	1050	0.00102%
11758	1049	0.00102%
42317	1046	0.00102%
5687	1046	0.00102%
8037	1045	0.00102%
26329	1034	0.00101%
2077	1033	0.00101%
36187	1030	0.00100%
54885	1029	0.00100%
39702	1027	0.00100%
10392	1026	0.00100%
29434	1024	0.00100%
51556	1011	0.00099%
2435	1010	0.00099%
12076	1000	0.00098%
1613	997	0.00097%
5369	996	0.00097%
92428	995	0.00097%
41790	992	0.00097%
13265	990	0.00097%
8375	988	0.00096%
13754	979	0.00096%
16114	974	0.00095%
1990	974	0.00095%
3269	973	0.00095%
33757	970	0.00095%
49822	962	0.00094%
20431	956	0.00093%
1018	951	0.00093%
15866	951	0.00093%
3638	951	0.00093%
10535	950	0.00093%
15773	946	0.00092%
12291	945	0.00092%
5457	942	0.00092%
126532	940	0.00092%
3474	940	0.00092%
1179	938	0.00092%
2908	937	0.00091%
