#File	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Female_S1_R1_001.fastq.gz	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Female_S1_R2_001.fastq.gz
#Total	121737828
#Matched	8242143	6.77040%
#Name	Reads	ReadsPct
171078	2277	0.00187%
9739	2276	0.00187%
8133	2268	0.00186%
638	2249	0.00185%
18756	2243	0.00184%
3394	2241	0.00184%
41144	2239	0.00184%
1141	2230	0.00183%
329921	2230	0.00183%
2592	2211	0.00182%
9616	2185	0.00179%
62112	2180	0.00179%
1232	2173	0.00178%
48844	2169	0.00178%
186	2166	0.00178%
21780	2149	0.00177%
52535	2126	0.00175%
13339	2125	0.00175%
84065	2117	0.00174%
33611	2109	0.00173%
15515	2106	0.00173%
56351	2101	0.00173%
2567	2100	0.00173%
20087	2095	0.00172%
4777	2094	0.00172%
6081	2063	0.00169%
4583	2060	0.00169%
56251	2054	0.00169%
11695	2047	0.00168%
5687	2045	0.00168%
3269	2034	0.00167%
13841	2027	0.00167%
2642	2027	0.00167%
1279	2020	0.00166%
2431	2016	0.00166%
2595	2003	0.00165%
78699	1998	0.00164%
6571	1967	0.00162%
11960	1953	0.00160%
53965	1928	0.00158%
24536	1919	0.00158%
5117	1918	0.00158%
10269	1896	0.00156%
4036	1896	0.00156%
2907	1893	0.00155%
14208	1890	0.00155%
107133	1881	0.00155%
90765	1872	0.00154%
9999	1867	0.00153%
9359	1851	0.00152%
2191	1845	0.00152%
29518	1841	0.00151%
20431	1804	0.00148%
54163	1802	0.00148%
29080	1797	0.00148%
10280	1796	0.00148%
89	1794	0.00147%
161	1791	0.00147%
1030	1788	0.00147%
8037	1782	0.00146%
186501	1762	0.00145%
3578	1742	0.00143%
20794	1738	0.00143%
1443	1735	0.00143%
66672	1731	0.00142%
53985	1730	0.00142%
13222	1728	0.00142%
5948	1728	0.00142%
9455	1725	0.00142%
7555	1719	0.00141%
83	1692	0.00139%
2077	1684	0.00138%
17438	1675	0.00138%
12151	1672	0.00137%
1157	1634	0.00134%
